,fullName,Articles,authors,years,Journals
1002,Reza Malekzadeh M.D,Impaired fasting glucose and major adverse cardiovascular events by hypertension and dyslipidemia status: the Golestan cohort study,"N Hashemi Madani, F Ismail-Beigi, H Poustchi, M Nalini, SG Sepanlou, ...",2020,"BMC Cardiovascular Disorders 20, 1-11, 2020"
1003,Reza Malekzadeh M.D,Fifty years of research and one conclusion: opium causes cancer,"M Sheikh, F Kamangar, R Malekzadeh",2020,"Archives of Iranian Medicine 23 (11), 757-760, 2020"
1004,Reza Malekzadeh M.D,Ethical issues in cluster randomized trials conducted in low-and middle-income countries: an analysis of two case studies,"AT Choko, G Roshandel, DF Conserve, EL Corbett, K Fielding, ...",2020,"Trials 21, 1-9, 2020"
1005,Reza Malekzadeh M.D,"Intentional injuries in the Eastern Mediterranean Region, 1990–2015: findings from the Global Burden of Disease 2015 study",null,2018,"International journal of public health 63, 39-46, 2018"
1006,Reza Malekzadeh M.D,Current challenges of liver transplantation in Iran,"RF Saidi, SM Kazemaini, R Malekzadeh",2018,"Middle East Journal of Digestive Diseases 10 (1), 45, 2018"
1007,Reza Malekzadeh M.D,Association of HLA-G* 01: 01: 02: 01/G* 01: 04: 01 polymorphism with gastric adenocarcinoma,"S Khorrami, R Rahimi, H Mohammadpour, S Bahrami, F Yari, H Poustchi, ...",2016,"Human Immunology 77 (2), 153-157, 2016"
1008,Reza Malekzadeh M.D,Mean polyp per patient is an accurate and readily obtainable surrogate for adenoma detection rate: results from an opportunistic screening colonoscopy program,"A Delavari, H Salimzadeh, F Bishehsari, ES Rakhshankhah, F Delavari, ...",2015,"Middle East Journal of Digestive Diseases 7 (4), 214, 2015"
1009,Reza Malekzadeh M.D,Liver enzyme levels and hepatic iron content in fatty liver: a noninvasive assessment in general population by T2* mapping,"AR Radmard, H Poustchi, M Dadgostar, A Yoonessi, S Kooraki, E Jafari, ...",2015,"Academic radiology 22 (6), 714-721, 2015"
1010,Reza Malekzadeh M.D,"Juvenile Hemochromatosis, genetic study and long-term follow up after therapy","MM Malekzadeh, AR Radmard, A Nouroozi, MR Akbari, M Amini, ...",2014,"Middle East Journal of Digestive Diseases 6 (2), 87, 2014"
1011,Reza Malekzadeh M.D,Diagnostic value of fecal calprotectin in patient with ulcerative colitis,"H Zamani, G Barzin, M Yousefinia, A Mohammadkhani, MR Ostovaneh, ...",2013,"Middle East Journal of Digestive Diseases 5 (2), 76, 2013"
1012,Reza Malekzadeh M.D,"Decrease in gastric cancer susceptibility by MTHFR C677T polymorphism in Ardabil Province, Iran","SS Hosseini-Asl, F Pourfarzi, A Barzegar, M Mazani, N Farahmand, ...",2013,"Turk J Gastroenterol 24 (2), 117-121, 2013"
1013,Reza Malekzadeh M.D,TT virus infection among Iranian blood donors: its prevalence and relationship to serum alanine aminotransferase (ALT) level,"A Pourshams, K Azimi, L Kiani, M Sarrafi, M FarhadiLangroody, ...",2012,"Govaresh 9 (2), 106-109, 2012"
1014,Reza Malekzadeh M.D,Squatting and risk of colorectal cancer: A case-control study,"S Sohrabi, R Malekzadeh, R Ansari, F Kamangar",2012,"Middle East journal of digestive diseases 4 (1), 23, 2012"
1015,Reza Malekzadeh M.D,Development of a low-cost real-time reverse transcriptase-polymerase chain reaction technique for the detection and quantification of hepatitis C viral load,"K Shahzamani, S Merat, H Rezvan, S Mirab-Samiee, H Khademi, ...",2010,"Clinical chemistry and laboratory medicine 48 (6), 777-784, 2010"
1016,Reza Malekzadeh M.D,Gastroesophageal reflux disease in Gonbad city: the prevalence and risk factors.,"N Aletaha, A Pourshams, M Nouraie, AF Malekshah, R Malekzadeh",2010,"Journal of Medical Council of Islamic Republic of Iran 28 (2), 176-234, 2010"
1017,Reza Malekzadeh M.D,Report from Iran,"R Malekzadeh, AR Dehpour",2008,"Liver International 28 (8), 1136-1139, 2008"
1018,Reza Malekzadeh M.D,The efficacy and safety of peginterferon alpha-2a (PEGASYS) monotherapy in the treatment of chronic hepatitis C infected subjects with transfusion dependent thalassemia,"S Mirmomen, N Daryani, R Malekzadeh, M Zali, B Haghpanah, ...",2004,"Hepatitis Monthly 4 (7), 65-70, 2004"
1019,Reza Malekzadeh M.D,Extraction of the outer membrane proteins of H. pylori and evaluation of their presence in stool of the infected individuals,"A Sheykhian, MH ZAHIR, F Shokri, R Malekzadeh, F Siavashi, ...",2004,"Iranian Biomedical Journal 8 (2), 83-88, 2004"
1020,Reza Malekzadeh M.D,Adenocarcinoma of the colon associated with sarcoidosis.,"M Mohamadnejad, M Babai, A Bidari, R Malekzadeh, SM Tavangar",2003,"MedGenMed: Medscape general medicine 5 (1), 6-6, 2003"
1021,Reza Malekzadeh M.D,Effect of packing and wrapping on postharvest rots of mango fruits,"MG Mortuza, MMA Reza, SMK Alam",2002,"Plant Pathology Division, Bangladesh Agricultural Research Institute …, 2002"
1022,Reza Malekzadeh M.D,Rigiflex Balloon dilation without fluoroscopy for treatment of Achalasia: A long-term follow-up of 99 patients,"J MIKAEILI, M YAGHOUBI, MR SOHRABI, R Malekzadeh",2002,"ACTA MEDICA IRANICA 40 (2), 69-72, 2002"
1023,Reza Malekzadeh M.D,Rising the incidence of crohn's disease in iran during last decade (1989–1999),"R Malekzadeh, H Mirmadjlesi, J Varshoesaz, S Agah, H Tavakoli",2000,"Gastroenterology 4 (118), A1356, 2000"
1024,Reza Malekzadeh M.D,Incidence of powdery mildew in mango varieties and its control,"MMA Reza, MG Mortuza",1997,"Bangladesh J. Plant Pathol 13 (1/2), 37-38, 1997"
1025,Reza Malekzadeh M.D,"Heart disease and stroke statistics–2015 update: A report from the American Heart Association, 2015","D Mozaffarian, EJ Benjamin, AS Go, DK Arnett, MJ Blaha, M Cushman, ...",null,"DOI, 0"
1026,Reza Malekzadeh M.D,"Levels and trends of BMI, obesity, and overweight at national and sub-national levels in Iran from 1990 to 2016; a comprehensive pooled analysis of half a million individuals","S Djalalinia, P Mehdipour, B Mohajer, F Mohebi, B Larijani, SG Sepanlou, ...",2021,"Archives of Iranian Medicine 24 (5), 344-353, 2021"
1027,Reza Malekzadeh M.D,Metabolomics reveals biomarkers of opioid use disorder,"R Ghanbari, Y Li, W Pathmasiri, S McRitchie, A Etemadi, JD Pollock, ...",2021,"Translational Psychiatry 11 (1), 103, 2021"
1028,Reza Malekzadeh M.D,Consortium WST (2021) Repurposed antiviral drugs for Covid-19-Interim WHO solidarity trial results,"H Pan, R Peto, A Henao-Restrepo, M Preziosi, V Sathiyamoorthy, ...",2021,"N Engl J Med 384, 497-511, 2021"
1029,Reza Malekzadeh M.D,Long-term opiate use and risk of cardiovascular mortality: results from the Golestan Cohort Study,"M Nalini, R Shakeri, H Poustchi, A Pourshams, A Etemadi, F Islami, ...",2021,"European journal of preventive cardiology 28 (1), 98-106, 2021"
1030,Reza Malekzadeh M.D,"Survival features, prognostic factors, and determinants of diagnosis and treatment among Iranian patients with pancreatic cancer, a prospective study","M Sheikh, S Masoudi, R Bakhshandeh, A Moayyedkazemi, F Zamani, ...",2020,"PloS one 15 (12), e0243511, 2020"
1031,Reza Malekzadeh M.D,A review on neutron shielding performance of nanocomposite materials,"E Mansouri, A Mesbahi, R Malekzadeh, AG Janghjoo, M Okutan",2020,"International Journal of Radiation Research 18 (4), 611-622, 2020"
1032,Reza Malekzadeh M.D,Assessment of genetic aspects of non-alcoholic fatty liver and premature cardiovascular events,"S Saki, N Saki, H Poustchi, R Malekzadeh",2020,"Middle East Journal of Digestive Diseases 12 (2), 65, 2020"
1033,Reza Malekzadeh M.D,Molecular evolution and phylodynamics of hepatitis B virus infection circulating in Iran,"SH Mozhgani, SA Malekpour, M Norouzi, F Ramezani, SA Rezaee, ...",2018,"Archives of virology 163, 1479-1488, 2018"
1034,Reza Malekzadeh M.D,"Neonatal, infant, and under-5 mortality and morbidity burden in the Eastern Mediterranean region: findings from the Global Burden of Disease 2015 study",null,2018,"International journal of public health 63, 63-77, 2018"
1035,Reza Malekzadeh M.D,Occurrence of wheat blast in Bangladesh,"PK Malaker, MMA Reza, MA Hakim, NCD Barma, MA Mannaf, ...",2016,"INTERNATIONAL WORKSHOP ON WHEAT BLAST 2, 128, 2016"
1036,Reza Malekzadeh M.D,Polymorphisms in EGFR and IL28B are associated with spontaneous clearance in an HCV-infected Iranian population,"R Carapito, H Poustchi, M Kwemou, M Untrau, AH Sharifi, S Merat, ...",2015,"Genes & Immunity 16 (8), 514-518, 2015"
1037,Reza Malekzadeh M.D,Three common CARD15 mutations are not responsible for the pathogenesis of Crohn's disease in Iranians.,"L Teimoori-Toolabi, H Vahedi, H Mollahajian, E Kamali, ...",2010,"Hepato-gastroenterology 57 (98), 275-282, 2010"
1038,Reza Malekzadeh M.D,"Transitions at CpG Dinucleotides, Geographic Clustering of TP53 Mutations and Food Availability Patterns in Colorectal Cancer","F Verginelli, F Bishehsari, F Napolitano, M Mahdavinia, A Cama, ...",2009,"PLoS One 4 (8), e6824, 2009"
1039,Reza Malekzadeh M.D,Archives of Iranian Medicine: Challenges of becoming indexed,"R Malekzadeh, P Azarmina",2002,"ARCHIVES OF IRANIAN MEDICINE 5 (2), 71-72, 2002"
1040,Reza Malekzadeh M.D,Yeast (Y) a silent companion of H-pylori (HP) which protects it against the environmental stresses.,"F Siavoshi, F NouraliAhari, S Zeinali, MH HashemiDogahed, ...",1996,"Gastroenterology 110 (4), A1015-A1015, 1996"
1041,Reza Malekzadeh M.D,Efficacy of pre-harvest field sprays of fungicide on the control of anthracnose and stem end rot of mango,"MMA Reza, KA Kader",1995,"Regional Horticultural Research Institute, Nawabgonj, 55-58, 1995"
1042,Reza Malekzadeh M.D,"Estimates, trends, and drivers of the global burden of type 2 diabetes attributable to PM2· 5 air pollution, 1990–2019: an analysis of data from the Global Burden of Disease …","K Burkart, K Causey, AJ Cohen, SS Wozniak, DD Salvi, C Abbafati, ...",2022,"The Lancet Planetary Health 6 (7), e586-e600, 2022"
1043,Reza Malekzadeh M.D,"Dietary acid load and mortality from all causes, CVD and cancer: results from the Golestan Cohort Study","E Hejazi, H Emamat, M Sharafkhah, A Saidpour, H Poustchi, S Sepanlou, ...",2022,"British Journal of Nutrition 128 (2), 237-243, 2022"
1044,Reza Malekzadeh M.D,Oral Health and Risk of Upper Gastrointestinal Cancers in a Large Prospective Study from a High-risk Region: Golestan Cohort StudyOral Health and Upper Gastrointestinal Cancers,"Y Yano, CC Abnet, H Poustchi, G Roshandel, A Pourshams, F Islami, ...",2021,"Cancer Prevention Research 14 (7), 709-718, 2021"
1045,Reza Malekzadeh M.D,Dietary quality using four dietary indices and lung cancer risk: the Golestan Cohort Study (GCS),"Q Wang, M Hashemian, SG Sepanlou, M Sharafkhah, H Poustchi, ...",2021,"Cancer Causes & Control 32, 493-503, 2021"
1046,Reza Malekzadeh M.D,A supporting system for management of patients with inflammatory bowel disease during COVID-19 outbreak: Iranian experience-study protocol,"A Anushiravani, H Vahedi, H Fakheri, F Mansour-Ghanaei, I Maleki, ...",2020,"Middle East Journal of Digestive Diseases 12 (4), 238, 2020"
1047,Reza Malekzadeh M.D,Red meat consumption and risk of nonalcoholic fatty liver disease in a population with low red meat consumption,"M Hashemian, H Poustchi, S Merat, C Abnet, R Malekzadeh, A Etemadi",2020,"Current Developments in Nutrition 4 (Supplement_2), 1413-1413, 2020"
1048,Reza Malekzadeh M.D,Pancreatic cancer is associated with peripheral leukocyte oxidative DNA damage,"A Mohamadkhani, A Pourshams, J Viti, F Cellai, K Mortazavi, ...",2017,"Asian Pacific Journal of Cancer Prevention: APJCP 18 (5), 1349, 2017"
1049,Reza Malekzadeh M.D,Effects of synbiotics supplementation in lean patients with nonalcoholic fatty liver disease: study protocol of a pilot randomized double-blind clinical trial,"F Mofidi, Z Yari, H Poustchi, S Merat, B Nourinayyer, R Malekzadeh, ...",2016,"ARCHIVES OF IRANIAN MEDICINE 19 (4), 282-284, 2016"
1050,Reza Malekzadeh M.D,Reliability analysis of a newly developed questionnaire for quality control of follow-up visits in PolyIran study,"G Roshandel, MR Ostovaneh, H Poustchi, F Malekzadeh, ...",2016,"ARCHIVES OF IRANIAN MEDICINE 19 (8), 551-555, 2016"
1051,Reza Malekzadeh M.D,Heart disease is associated with anthropometric indices and change in body size perception over the life course: The Golestan Cohort Study,"VP Garg, R Vedanthan, F Islami, A Pourshams, H Poutschi, H Khademi, ...",2015,"Global Heart 10 (4), 245-254. e1, 2015"
1052,Reza Malekzadeh M.D,Treatment of gastro-esophageal reflux disease may improve surgical outcomes for chronic otitis media,"AK Yazdi, A Tajdini, R Malekzadeh, S Nasseri-Moghaddam, M Mazlum, ...",2012,"Middle East Journal of Digestive Diseases 4 (4), 224, 2012"
1053,Reza Malekzadeh M.D,Fast food intake among Iranian adults: is it related to diet quality and cardiovascular risk factors,"A Esmaillzadeh, L Azadbakht, R Malekzadeh",2012,"Arch Iran Med 15, 340-341, 2012"
1054,Reza Malekzadeh M.D,Esophagitis may not be a major precursor lesion for esophageal squamous cell carcinoma in a high incidence area in North-Eastern Iran,"B Abedi-Ardekani, M Sotoudeh, K Aghcheli, S Semnani, R Shakeri, ...",2011,"Middle East Journal of Digestive Diseases 3 (1), 28, 2011"
1055,Reza Malekzadeh M.D,"Demographic, clinical features and treatment outcomes in 700 achalasia patients in Iran","A Hasanzadeh, J Mikaeli, E Elahi, N Mehrabi, A Etemadi, R Malekzadeh",2010,"Middle East journal of digestive diseases 2 (2), 91, 2010"
1056,Reza Malekzadeh M.D,"Improving quality of cancer registration in iran. Part2: Suggesting new national cancer registration program in iran, based on comparative study of 18 countries","K Zendehdel, J Hassanloo, Z Sedighi, A Nahvijoo, R Malekzadeh, ...",2010,"Hakim Research Journal 12 (4), 50-57, 2010"
1057,Reza Malekzadeh M.D,The effect of weight reduction on ultrasonographic findings of nonalcoholic Fatty liver,"SA Tahaei, N Sedighi, R Derogar, A Aslani, R Malekzadeh, S Merat",2010,"Middle East Journal of Digestive Diseases 2 (1), 5, 2010"
1058,Reza Malekzadeh M.D,Golestan population-based cancer registry,"S Semnani, G Roshandel, A Keshtkar, A Sajadi, NM MoradiA",2008,"Golestan Research Center of Gastroenterology and Hepatology, Golestan …, 2008"
1059,Reza Malekzadeh M.D,PCA based feature selection applied to the analysis of the international variation in diet,"F Bishehsari, M Mahdavinia, R Malekzadeh, R Mariani-Costantini, ...",2007,"Applications of Fuzzy Sets Theory: 7th International Workshop on Fuzzy Logic …, 2007"
1060,Reza Malekzadeh M.D,Peginterferon alfa-2a and ribavirin in patients with chronic hepatitis C and inherited bleeding disorders,"S Merat, A Sohrabpour, S Khaleghi, M Sohrabi, K Rad, A Radmard, ...",2004,"Hepatitis Monthly 4 (7), 59-64, 2004"
1061,Reza Malekzadeh M.D,Prospective controlled trial of interferon alpha-2b (INF) in Iranian patients with chronic hepatitis B (CHB),"M Yosefirad, R Malekzadeh, M Khatibian, SM Alavian, H Rezvan, ...",1997,"Gastroenterology 112 (4), A1420-A1420, 1997"
1062,Reza Malekzadeh M.D,Repurposed antiviral drugs for COVID-19; interim WHO SOLIDARITY trial results. medRxiv. 2020: 2020.10. 15.20209817,"H Pan, R Peto, QA Karim, M Alejandria, AM Henao-Restrepo, CH García, ...",null,"Pan et al. report on data from the SOLIDARITY trial which showed no benefit of 4, 0"
1063,Reza Malekzadeh M.D,"Committee American Heart Association Statistics, and Subcommittee Stroke Statistics. 2014.""","AS Go, D Mozaffarian, VL Roger, EJ Benjamin, JD Berry, MJ Blaha, S Dai, ...",null,"Heart disease and stroke statistics--2014 update: a report from the American …, 0"
1064,Reza Malekzadeh M.D,"Worldwide trends in population-based survival for children, adolescents, and young adults diagnosed with leukaemia, by subtype, during 2000–14 (CONCORD-3): analysis of …","N Ssenyonga, C Stiller, K Nakata, J Shalkow, S Redmond, JL Bulliard, ...",2022,"The lancet child & adolescent health 6 (6), 409-431, 2022"
1065,Reza Malekzadeh M.D,Salt intake and gastric cancer: A pooled analysis within the Stomach cancer Pooling (StoP) Project,"S Morais, A Costa, G Albuquerque, N Araújo, C Pelucchi, CS Rabkin, ...",2022,"Cancer Causes & Control 33 (5), 779-791, 2022"
1066,Reza Malekzadeh M.D,Joint effect of diabetes and opiate use on all-cause and cause-specific mortality: the Golestan cohort study,"M Nalini, M Khoshnia, F Kamangar, M Sharafkhah, H Poustchi, ...",2021,"International journal of epidemiology 50 (1), 314-324, 2021"
1067,Reza Malekzadeh M.D,Effects of cognitive behavioral therapy on weight maintenance after successful weight loss in women; a randomized clinical trial,"A Madjd, MA Taylor, A Delavari, R Malekzadeh, IA Macdonald, ...",2020,"European Journal of Clinical Nutrition 74 (3), 436-444, 2020"
1068,Reza Malekzadeh M.D,"Erratum: Global, regional, and national comparative risk assessment of 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks for 195 …",GBD 2017 Risk Factor Collaborators,2019,"The Lancet 393 (10190), e44, 2019"
1069,Reza Malekzadeh M.D,"Drug use for secondary prevention of cardiovascular diseases in golestan, iran: results from the golestan cohort study","M Nalini, SG Sepanlou, A Pourshams, H Poustchi, M Sharafkhah, ...",2018,"Archives of Iranian medicine 21 (3), 86-94, 2018"
1070,Reza Malekzadeh M.D,Nonalcoholic steatohepatitis is the most rapidly growing indication for liver transplantation in Iranian patients,"A Eshraghian, A Taghavi Seyed, S Nikeghbalian, K Kazemi, ...",2017,"Iran J Gastroenterol Hepatol (Govaresh) 22 (3), 2017"
1071,Reza Malekzadeh M.D,Cost-effectiveness of screening colonoscopy in Iranian High Risk Population,"H Javadinasab, R Daroudi, H Salimzadeh, A Delavari, P Vezvaie, ...",2017,"Archives of Iranian Medicine 20 (9), 2017"
1072,Reza Malekzadeh M.D,Central obesity and advanced liver stiffness in hepatitis b: Result from golestan hepatitis b cohort study,"S Besharat, H Poustchi, A Mohamadkhani, G Roshandel, ND Freedman, ...",2015,"Archives of Iranian Medicine 18 (9), 0-0, 2015"
1073,Reza Malekzadeh M.D,Is it necessary to screen for celiac disease in idiopathic osteoporosis?,"B Shahbazkhani, N Aletaha, B Farahvash, R Malekzadeh",2015,"Gastroenterology and Hepatology from Bed to Bench, Hepatol Bed Bench 2015; 8 …, 2015"
1074,Reza Malekzadeh M.D,Is it necessary to screen for celiac disease in adult idiopathic osteoporosis?,"B Shahbazkhani, N Aletaha, B Farahvash, R Malekzadeh",2015,"Gastroenterology and Hepatology from bed to bench 8 (2), 140, 2015"
1075,Reza Malekzadeh M.D,Prevention of non-communicable diseases: what can be done,"S Merat, R Malekzadeh",2013,"Arch Iran Med 16 (3), 136-7, 2013"
1076,Reza Malekzadeh M.D,Eosinophilic gastroenteritis: a case series from Iran,"M Bagheri, M Ashrafi, M Mohamadnejad, LA Hosseini, ...",2011,"Middle East Journal of Digestive Diseases 3 (2), 115, 2011"
1077,Reza Malekzadeh M.D,Topography of gastritis and its severity in 864 first degree relatives of gastric cancer patients,"N Zendehdel, S MASARAT, AA SHEYKH, N Rakhshani, S Saeidi, ...",2010,"ARCHIVES OF IRANIAN MEDICINE 13 (6), 469-475, 2010"
1078,Reza Malekzadeh M.D,"First phase report of the golestan cohort study; A prospective study of cancers and chronic diseases risk factors in 50,000 inhabitants of North Eastern of Iran","E Jafari, A Pourshams, H Khademi, AR Sadjadi, A Fazeltabar-Malekshah, ...",2009,"Govaresh 14 (1), 7-14, 2009"
1079,Reza Malekzadeh M.D,Coffee consumption and gastric cancer: a pooled analysis from the Stomach cancer Pooling (StoP) Project consortium,"G Martimianaki, P Bertuccio, G Alicandro, C Pelucchi, F Bravi, G Carioli, ...",2022,"European journal of cancer prevention: the official journal of the European …, 2022"
1080,Reza Malekzadeh M.D,Coniochaeta fungus benefits from its intracellular bacteria to form biofilm and defend against other fungi,"S Heydari, F Siavoshi, A Sarrafnejad, R Malekzadeh",2021,"Archives of Microbiology 203, 1357-1366, 2021"
1081,Reza Malekzadeh M.D,"Heterogeneity of associations between total and types of fish intake and the incidence of type 2 diabetes: federated meta-analysis of 28 prospective studies including 956,122 …","S Pastorino, T Bishop, SJ Sharp, M Pearce, T Akbaraly, NB Barbieri, ...",2021,"Nutrients 13 (4), 1223, 2021"
1082,Reza Malekzadeh M.D,Habitual dietary intake of flavonoids and all-cause and cause-specific mortality: Golestan cohort study,"J Hejazi, M Ghanavati, E Hejazi, H Poustchi, SG Sepanlou, M Khoshnia, ...",2020,"Nutrition journal 19 (1), 1-25, 2020"
1083,Reza Malekzadeh M.D,"Trends in the incidence of stomach cancer in Golestan Province, a high-risk area in Northern Iran, 2004–2016","F Ghasemi-Kebria, T Amiriani, A Fazel, M Naimi-Tabiei, A Norouzi, ...",2020,"Archives of Iranian medicine 23 (6), 362-368, 2020"
1084,Reza Malekzadeh M.D,"Smoking Water-Pipe, Opium Use and Prevalence of Heart Disease: A Cross-sectional Analysis of Baseline Data from the Pars Cohort Study, Southern Iran.","A Adib, SM Masoompour, HM Vardanjani, A Gondomkar, H Poustchi, ...",2020,"Archives of Iranian Medicine (AIM) 23 (5), 2020"
1085,Reza Malekzadeh M.D,Investigation of the Correlation between Androgen Receptor and ZEB1 and its Value in Progression of Gastric Cancer,"SS Fard, M Sotoudeh, K Saliminejad, M Yazdanbod, H Mahmoodzadeh, ...",2020,"Avicenna Journal of Medical Biotechnology 12 (1), 52, 2020"
1086,Reza Malekzadeh M.D,Rising rural body-mass index is the main driver of the global obesity epidemic in adults,"I Spiroski, NCD Risk Factor Collaboration",2019,"Nature, 2019"
1087,Reza Malekzadeh M.D,"Study of correlation between chronic stressor, biochemical markers and hematologic indices in Shahrekord Cohort Study: A population-based cross-sectional study","A Ahmadi, SA Sodejani, R Malekzadeh, H Poustchi, K Solati",2019,"Diabetes & Metabolic Syndrome: Clinical Research & Reviews 13 (3), 2170-2174, 2019"
1088,Reza Malekzadeh M.D,A fractal based approach to evaluate the progression of esophageal squamous cell dysplasia,"ZS Hosseini, SMRH Gholpayeghani, M Sotoudeh, R Malekzadeh",2019,"Biomedical Signal Processing and Control 48, 273-289, 2019"
1089,Reza Malekzadeh M.D,"Burden of vision loss in the Eastern Mediterranean region, 1990–2015: findings from the global burden of disease 2015 study","S Safi, H Ahmadieh, M Katibeh, M Yaseri, A Ramezani, S Shahraz, ...",2018,"International Journal of Public Health, S199-S210, 2018"
1090,Reza Malekzadeh M.D,Advanced colonic neoplasia in the first degree relatives of colon cancer patients: A colonoscopy‐based study,"H Salimzadeh, F Bishehsari, M Amani, R Ansari, M Sotoudeh, A Delavari, ...",2016,"International Journal of Cancer 139 (10), 2243-2251, 2016"
1091,Reza Malekzadeh M.D,Evolution of hepatitis B virus surface gene and protein among Iranian chronic carriers from different provinces,"F Ramezani, SM Alavian, A Sadeghi, A Khedive, L Ghalichi, M Norouzi, ...",2015,"Iranian Journal of Microbiology 7 (4), 214, 2015"
1092,Reza Malekzadeh M.D,Clinical and pathological features of non-functional neuroendocrine tumors of pancreas: a report from iran,"N Nozari, S Nikfam, A Nikmanesh, M Mohammadnejad, ...",2014,"Middle East Journal of Digestive Diseases 6 (3), 151, 2014"
1093,Reza Malekzadeh M.D,Evaluation of efficacy of H. pylori eradication regimens in Iran: A systematic review,"F Barazandeh, G Moradi, R Malekzadeh",2012,"Govaresh 16 (4), 215-222, 2012"
1094,Reza Malekzadeh M.D,Editorial independence and ethics of research publication,"A Etemadi, A Golozar, R Malekzadeh",2010,"ARCHIVES OF IRANIAN MEDICINE 13 (6), 465-468, 2010"
1095,Reza Malekzadeh M.D,"Hepatitis B Virus in Iran epidemiology, liver cell damage and clinical procedure","R Malekzadeh, Z Malekzadeh",2010,"Govaresh 14 (4), 226-234, 2010"
1096,Reza Malekzadeh M.D,Approach to dyspepsia according to Helicobacter pylori status in Iran,"S Massarrat, M Saberi-Firoozi, N Ebrahimi-Daryani, R Malekzadeh",2009,"Govaresh 14 (1), 35-38, 2009"
1097,Reza Malekzadeh M.D,Pancreatobiliary Cancers in Iran: a Population-Based Study,"A Taefi, M Nouraie, A Ghorbani, H Fakheri, MJ Zahedi, S Semnani, ...",2009,"Govaresh 13 (4), 217-222, 2009"
1098,Reza Malekzadeh M.D,S2031 Socioeconomic Status in Relation to Esophageal Cancer in a High-Risk Area of Iran,"F Islami, F Kamangar, D Nasrollahzadeh, M Sotoudeh, CC Abnet, ...",2008,"Gastroenterology 4 (134), A-301, 2008"
1099,Reza Malekzadeh M.D,Effects of irrigation and fertilization on yield and quality of litchi (Litchi chinensis Sonn),"MM Reza, MM Bahadur, MA Hasan, MS Bari, HR Hafiz",2007,"J. Sci. Technol.(Dinajpur) 5, 52-59, 2007"
1100,Reza Malekzadeh M.D,Hereditary hemochromatosis: a rare disease in Iran,"H NOUBAKHT, SH MERAT, R Malekzadeh",2006,"ARCHIVES OF IRANIAN MEDICINE 9 (1), 78-80, 2006"
1101,Reza Malekzadeh M.D,Changing frequencies and current status of Multiple-Drug Resistant Typhoidal Salmonellae in year 2001-2003 at Rawalpindi,"AM Ali, AH Qureshi, S Rafi, SH Mirza",2005,"Infect Dis J 14 (1), 3-6, 2005"
1102,Reza Malekzadeh M.D,A comparative study of bolus administration and continuous infusion of ranitidine on gastric pH with intragastric pH-probe,"M Mojtahedzadeh, M RASTGARPANAH, R Malekzadeh, H Khalili, ...",2002,"DARU JOURNAL OF PHARMACEUTICAL SCIENCE 10 (4), 153-157, 2002"
1103,Reza Malekzadeh M.D,One week bismuth+ metronidazole+ amoxicillin (BMA) with ranitidine (RAN) versus two weeks BMA without RAN versus 2 weeks BMA+ RAN for HP eradication: A randomized single blind …,"MJ Kaviani, R Malekzadeh, H Vahedi, M Zare, M Kamalian, M Sotudeh, ...",1998,"Gastroenterology, A171, 1998"
1104,Reza Malekzadeh M.D,"Effect of furazolidone, bismuth subcitrate and amoxicillin on eradication of Helicobacter pylori (HP) in Iran","R Malekzadeh, R Setodeh, M Amini, A Vakili, R Ansari, S Massarat",1997,"Gastroenterology 112 (4), A208-A208, 1997"
1105,Reza Malekzadeh M.D,Budd-Chiari syndrome in Iran: an experience with 22 patients,R Malekzadeh,1994,"IJMS-Iranian Journal of Medical Sciences 19 (4-Mar), 88-94, 1994"
1106,Reza Malekzadeh M.D,Opium use and risk of bladder cancer: a multi-centre case-referent study in Iran,"M Hadji, H Rashidian, M Marzban, A Naghibzadeh-Tahami, M Gholipour, ...",2022,"International Journal of Epidemiology 51 (3), 830-838, 2022"
1107,Reza Malekzadeh M.D,Routine COVID-19 testing may not be necessary for most cancer patients,"A Motlagh, F Elmi, M Yamrali, M Ranjbar, M Azmin, F Moshiri, ...",2021,"Scientific Reports 11 (1), 23294, 2021"
1108,Reza Malekzadeh M.D,Disease waves of SARS-CoV-2 in Iran closely mirror global pandemic trends,"Z Fattahi, M Mohseni, M Beheshtian, A Jafarpour, K Jalalvand, ...",2021,"MedRxiv, 2021.10. 23.21265086, 2021"
1109,Reza Malekzadeh M.D,Levels and trends of hypertension at national and subnational scale in Iran from 1990 to 2016: a systematic review and pooled analysis,"SG Sepanlou, P Mehdipour, A Ghanbari, S Djalalinia, N Peykari, ...",2021,"Archives of Iranian Medicine 24 (4), 306-316, 2021"
1110,Reza Malekzadeh M.D,Methylated DNA Markers of Esophageal Squamous Cancer and Dysplasia: An International StudyBiomarkers in Esophageal Squamous Cancer,"Y Qin, W Taylor, WR Bamlet, A Ravindran, A Buglioni, X Cao, PH Foote, ...",2020,"Cancer Epidemiology, Biomarkers & Prevention 29 (12), 2642-2650, 2020"
1111,Reza Malekzadeh M.D,Evaluation of the association between androgen receptor and AURKA and its prognostic value in gastric cancer,"SS Fard, M Sotoudeh, M Yazdanbod, A Ghavamzadeh, R Malekzadeh, ...",2019,"International Journal of Hematology-Oncology and Stem Cell Research 13 (4), 174, 2019"
